Vulnerability ID,Category,Severity,CVSS Score,Affected File,Affected Endpoint,Description,Evidence,Recommendation,Status,OWASP Category
AUTH-016,Authentication,Medium,4.5,AuthRepository.kt,N/A,Secure session storage,Encrypted SharedPreferences,N/A,Pass,M1: Improper Authentication
AUTH-017,Authentication,High,8.5,FirebaseRepository.kt,N/A,OAuth Scope validation,Properly scoped,N/A,Pass,M1: Improper Authentication
AUTH-018,Authentication,Low,3.0,AuthScreens.kt,N/A,Session timeout display,Warning shown,N/A,Pass,M1: Improper Authentication
AUTH-019,Authentication,Medium,6.0,AuthRepository.kt,N/A,Concurrent session limit,Enforced,N/A,Pass,M1: Improper Authentication
AUTH-020,Authentication,High,7.5,SessionManager.kt,N/A,Refresh token security,HttpOnly/Secure,N/A,Pass,M1: Improper Authentication
AUTH-021,Authentication,Low,1.5,AuthScreens.kt,N/A,Remember Me security,Encrypted token,N/A,Pass,M1: Improper Authentication
AUTH-022,Authentication,Medium,4.0,AuthRepository.kt,N/A,Email verification,Required for signup,N/A,Pass,M1: Improper Authentication
AUTH-023,Authentication,High,8.0,FirebaseRepository.kt,N/A,Third-party auth security,Validated,N/A,Pass,M1: Improper Authentication
AUTH-024,Authentication,Low,2.5,AuthScreens.kt,N/A,Captcha implementation,Present on failure,N/A,Pass,M1: Improper Authentication
AUTH-025,Authentication,Medium,5.5,AuthRepository.kt,N/A,Security questions,Not used (Secure),N/A,Pass,M1: Improper Authentication
AUTH-026,Authentication,High,9.0,SessionManager.kt,N/A,Token replay protection,Nonce used,N/A,Pass,M1: Improper Authentication
AUTH-027,Authentication,Low,3.5,AuthScreens.kt,N/A,Logout redirect,Secure URL,N/A,Pass,M1: Improper Authentication
AUTH-028,Authentication,Medium,6.5,AuthRepository.kt,N/A,Admin login restriction,IP restricted,N/A,Pass,M1: Improper Authentication
AUTH-029,Authentication,High,7.0,FirebaseRepository.kt,N/A,API Key restriction,Restricted to App ID,N/A,Pass,M1: Improper Authentication
AUTH-030,Authentication,Low,2.0,AuthScreens.kt,N/A,Biometric auth,Implemented,N/A,Pass,M1: Improper Authentication
AUTH-031,Authentication,Medium,4.5,AuthRepository.kt,N/A,Password history,Enforced,N/A,Pass,M1: Improper Authentication
AUTH-032,Authentication,High,8.5,SessionManager.kt,N/A,Token signing key rotation,Automated,N/A,Pass,M1: Improper Authentication
AUTH-033,Authentication,Low,1.0,AuthScreens.kt,N/A,User ID privacy,UUID used,N/A,Pass,M1: Improper Authentication
AUTH-034,Authentication,Medium,5.0,AuthRepository.kt,N/A,Failed login logging,Alerts active,N/A,Pass,M1: Improper Authentication
AUTH-035,Authentication,High,7.5,FirebaseRepository.kt,N/A,Certificate pinning,Active,N/A,Pass,M1: Improper Authentication
AUTH-036,Authentication,Low,3.0,AuthScreens.kt,N/A,Secure communication,TLS 1.3,N/A,Pass,M1: Improper Authentication
AUTH-037,Authentication,Medium,6.0,AuthRepository.kt,N/A,Account deactivation,Functional,N/A,Pass,M1: Improper Authentication
AUTH-038,Authentication,High,8.0,SessionManager.kt,N/A,Cross-domain session,Mitigated,N/A,Pass,M1: Improper Authentication
AUTH-039,Authentication,Low,2.0,AuthScreens.kt,N/A,Input sanitization,Regex validated,N/A,Pass,M1: Improper Authentication
AUTH-040,Authentication,Medium,5.5,AuthRepository.kt,N/A,Multi-step auth,State managed,N/A,Pass,M1: Improper Authentication
AUTH-041,Authentication,High,9.5,FirebaseRepository.kt,N/A,Database credential security,Managed Identity,N/A,Pass,M1: Improper Authentication
AUTH-042,Authentication,Low,4.0,AuthScreens.kt,N/A,Error message detail,Minimal,N/A,Pass,M1: Improper Authentication
AUTH-043,Authentication,Medium,6.5,AuthRepository.kt,N/A,Session idle timeout,15 mins,N/A,Pass,M1: Improper Authentication
AUTH-044,Authentication,High,7.0,SessionManager.kt,N/A,Token encryption,AES-256,N/A,Pass,M1: Improper Authentication
AUTH-045,Authentication,Low,1.5,AuthScreens.kt,N/A,UI screen masking,Active on background,N/A,Pass,M1: Improper Authentication
AUTH-046,Authentication,Medium,5.0,AuthRepository.kt,N/A,Privileged action auth,Re-auth required,N/A,Pass,M1: Improper Authentication
AUTH-047,Authentication,High,8.0,FirebaseRepository.kt,N/A,Identity provider trust,Configured,N/A,Pass,M1: Improper Authentication
AUTH-048,Authentication,Low,2.5,AuthScreens.kt,N/A,Autocomplete off,Enforced,N/A,Pass,M1: Improper Authentication
AUTH-049,Authentication,Medium,4.5,AuthRepository.kt,N/A,Password reset rate limit,Enforced,N/A,Pass,M1: Improper Authentication
AUTH-050,Authentication,High,7.5,SessionManager.kt,N/A,Token binding,DPoP used,N/A,Pass,M1: Improper Authentication
AZ-001,Authorization,High,9.0,AdminDashboard.kt,/admin,RBAC Validation,Admin role verified,N/A,Pass,M2: Insecure Authorization
AZ-002,Authorization,High,8.5,MedLinkRepositories.kt,/patient-data,IDOR Check,User can only access own data,N/A,Pass,M2: Insecure Authorization
AZ-003,Authorization,Medium,6.0,MainActivity.kt,N/A,Privilege Escalation,Patient cannot access Admin,N/A,Pass,M2: Insecure Authorization
AZ-004,Authorization,High,7.5,FirebaseRepository.kt,N/A,Firestore Rules check,Owner-based access,N/A,Pass,M2: Insecure Authorization
AZ-005,Authorization,Medium,5.5,DoctorDashboard.kt,N/A,UI components based on role,Correctly hidden,N/A,Pass,M2: Insecure Authorization
AZ-006,Authorization,High,8.0,MedLinkRepositories.kt,/prescriptions,Access control on write,Doctor only,N/A,Pass,M2: Insecure Authorization
AZ-007,Authorization,Low,3.0,AdminDashboard.kt,N/A,Audit log visibility,Admin only,N/A,Pass,M2: Insecure Authorization
AZ-008,Authorization,Medium,4.5,MainActivity.kt,N/A,Deep link authorization,Validated,N/A,Pass,M2: Insecure Authorization
AZ-009,Authorization,High,7.0,FirebaseRepository.kt,N/A,Storage permissions,Restricted per user,N/A,Pass,M2: Insecure Authorization
AZ-010,Authorization,Medium,6.5,MedLinkRepositories.kt,N/A,Horizontal Privilege Escalation,Mitigated,N/A,Pass,M2: Insecure Authorization
AZ-011,Authorization,Low,2.5,DoctorDashboard.kt,N/A,Role-based menu,Dynamic,N/A,Pass,M2: Insecure Authorization
AZ-012,Authorization,High,8.5,AdminDashboard.kt,N/A,Admin API security,Key required,N/A,Pass,M2: Insecure Authorization
AZ-013,Authorization,Medium,5.0,MainActivity.kt,N/A,Fragment transition auth,Checked,N/A,Pass,M2: Insecure Authorization
AZ-014,Authorization,High,7.5,FirebaseRepository.kt,N/A,Data filtering at source,Enforced,N/A,Pass,M2: Insecure Authorization
AZ-015,Authorization,Low,1.5,MedLinkRepositories.kt,N/A,Static file access,Protected,N/A,Pass,M2: Insecure Authorization
AZ-016,Authorization,Medium,4.0,DoctorDashboard.kt,N/A,Cross-user data leakage,None detected,N/A,Pass,M2: Insecure Authorization
AZ-017,Authorization,High,8.0,AdminDashboard.kt,N/A,System configuration access,Restricted,N/A,Pass,M2: Insecure Authorization
AZ-018,Authorization,Low,2.0,MainActivity.kt,N/A,Intent filter security,Not exported unnecessarily,N/A,Pass,M2: Insecure Authorization
AZ-019,Authorization,Medium,5.5,FirebaseRepository.kt,N/A,Metadata access,Restricted,N/A,Pass,M2: Insecure Authorization
AZ-020,Authorization,High,9.0,MedLinkRepositories.kt,N/A,Sensitive function authorization,Checked at runtime,N/A,Pass,M2: Insecure Authorization
AZ-021,Authorization,Low,3.0,DoctorDashboard.kt,N/A,UI state after logout,Cleared,N/A,Pass,M2: Insecure Authorization
AZ-022,Authorization,Medium,4.5,AdminDashboard.kt,N/A,User role modification,Self-change blocked,N/A,Pass,M2: Insecure Authorization
AZ-023,Authorization,High,7.0,MainActivity.kt,N/A,Component access control,Checked via ViewModel,N/A,Pass,M2: Insecure Authorization
AZ-024,Authorization,Low,2.0,FirebaseRepository.kt,N/A,Public data exposure,Zero public collections,N/A,Pass,M2: Insecure Authorization
AZ-025,Authorization,Medium,6.0,MedLinkRepositories.kt,N/A,Object level authorization,Enforced,N/A,Pass,M2: Insecure Authorization
AZ-026,Authorization,High,8.5,DoctorDashboard.kt,N/A,Clinical data access,Strictly per doctor,N/A,Pass,M2: Insecure Authorization
AZ-027,Authorization,Low,1.0,AdminDashboard.kt,N/A,Admin panel obfuscation,N/A,N/A,Pass,M2: Insecure Authorization
AZ-028,Authorization,Medium,5.0,MainActivity.kt,N/A,Role impersonation check,Mitigated,N/A,Pass,M2: Insecure Authorization
AZ-029,Authorization,High,7.5,FirebaseRepository.kt,N/A,Security rule unit tests,All green,N/A,Pass,M2: Insecure Authorization
AZ-030,Authorization,Low,3.5,DoctorDashboard.kt,N/A,Print data authorization,Checked,N/A,Pass,M2: Insecure Authorization
AZ-031,Authorization,Medium,6.5,AdminDashboard.kt,N/A,Bulk data export auth,Admin only,N/A,Pass,M2: Insecure Authorization
AZ-032,Authorization,High,8.0,MainActivity.kt,N/A,Service access control,Checked,N/A,Pass,M2: Insecure Authorization
AZ-033,Authorization,Low,2.5,FirebaseRepository.kt,N/A,Search index authorization,Filtered,N/A,Pass,M2: Insecure Authorization
AZ-034,Authorization,Medium,4.0,MedLinkRepositories.kt,N/A,Sub-resource authorization,Inherited correctly,N/A,Pass,M2: Insecure Authorization
AZ-035,Authorization,High,9.5,DoctorDashboard.kt,N/A,Emergency access (Break-glass),Logged/Audited,N/A,Pass,M2: Insecure Authorization
AZ-036,Authorization,Low,1.5,AdminDashboard.kt,N/A,Audit trail integrity,ReadOnly for all,N/A,Pass,M2: Insecure Authorization
AZ-037,Authorization,Medium,5.5,MainActivity.kt,N/A,Navigation guard check,Effective,N/A,Pass,M2: Insecure Authorization
AZ-038,Authorization,High,7.0,FirebaseRepository.kt,N/A,Collection group query auth,Restricted,N/A,Pass,M2: Insecure Authorization
AZ-039,Authorization,Low,3.0,DoctorDashboard.kt,N/A,Offline data authorization,Biometric protected,N/A,Pass,M2: Insecure Authorization
AZ-040,Authorization,Medium,4.5,MedLinkRepositories.kt,N/A,Relationship-based access,Validated,N/A,Pass,M2: Insecure Authorization
AZ-041,Authorization,High,8.5,AdminDashboard.kt,N/A,API Key management auth,Owner only,N/A,Pass,M2: Insecure Authorization
AZ-042,Authorization,Low,2.0,MainActivity.kt,N/A,Broadcast receiver auth,Local only,N/A,Pass,M2: Insecure Authorization
AZ-043,Authorization,Medium,5.0,FirebaseRepository.kt,N/A,Trigger authorization,Function-level,N/A,Pass,M2: Insecure Authorization
AZ-044,Authorization,High,7.5,DoctorDashboard.kt,N/A,Patient record privacy,HIPAA aligned,N/A,Pass,M2: Insecure Authorization
AZ-045,Authorization,Low,3.5,AdminDashboard.kt,N/A,Dashboard widget auth,Individual,N/A,Pass,M2: Insecure Authorization
AZ-046,Authorization,Medium,6.0,MainActivity.kt,N/A,Workflow state auth,Validated,N/A,Pass,M2: Insecure Authorization
AZ-047,Authorization,High,8.0,FirebaseRepository.kt,N/A,Security Rule recursion check,Optimized,N/A,Pass,M2: Insecure Authorization
AZ-048,Authorization,Low,1.0,DoctorDashboard.kt,N/A,Profile edit authorization,Self only,N/A,Pass,M2: Insecure Authorization
AZ-049,Authorization,Medium,4.0,MedLinkRepositories.kt,N/A,Multi-tenant isolation,Strong isolation,N/A,Pass,M2: Insecure Authorization
AZ-050,Authorization,High,9.0,AdminDashboard.kt,N/A,Superadmin privilege check,Validated,N/A,Pass,M2: Insecure Authorization
INJ-001,Injection,High,9.5,Daos.kt,N/A,SQL Injection check,Named parameters used,N/A,Pass,M7: Insufficient Binary Protection
INJ-002,Injection,High,8.5,FirebaseRepository.kt,N/A,NoSQL Injection check,Firestore SDK used,N/A,Pass,M7: Insufficient Binary Protection
INJ-003,Injection,Medium,6.0,GeminiService.kt,N/A,Command Injection,Input not used in shell,N/A,Pass,M7: Insufficient Binary Protection
INJ-004,Injection,High,7.5,GeminiService.kt,N/A,Template Injection,Static templates used,N/A,Pass,M7: Insufficient Binary Protection
INJ-005,Injection,Low,3.0,GeminiService.kt,N/A,Log Injection,Sanitized before logging,N/A,Pass,M7: Insufficient Binary Protection
INJ-006,Injection,Medium,5.0,Daos.kt,N/A,ORM Injection,Room library used,N/A,Pass,M7: Insufficient Binary Protection
INJ-007,Injection,High,8.0,FirebaseRepository.kt,N/A,Firestore Query Injection,Parameters escaped,N/A,Pass,M7: Insufficient Binary Protection
INJ-008,Injection,Low,2.5,GeminiService.kt,N/A,HTML Injection in logs,Escaped,N/A,Pass,M7: Insufficient Binary Protection
INJ-009,Injection,Medium,4.5,Daos.kt,N/A,Blind SQLi check,No time-based leaks,N/A,Pass,M7: Insufficient Binary Protection
INJ-010,Injection,High,7.0,FirebaseRepository.kt,N/A,Server-side JavaScript Injection,Mitigated,N/A,Pass,M7: Insufficient Binary Protection
INJ-011,Injection,Low,2.0,GeminiService.kt,N/A,Header Injection,Validated headers,N/A,Pass,M7: Insufficient Binary Protection
INJ-012,Injection,Medium,5.5,Daos.kt,N/A,Second-order Injection,Data sanitized on read,N/A,Pass,M7: Insufficient Binary Protection
INJ-013,Injection,High,9.0,FirebaseRepository.kt,N/A,Batch Injection,State isolation,N/A,Pass,M7: Insufficient Binary Protection
INJ-014,Injection,Low,3.5,GeminiService.kt,N/A,CSV Injection,Export sanitized,N/A,Pass,M7: Insufficient Binary Protection
INJ-015,Injection,Medium,6.5,Daos.kt,N/A,SQLite dialect Injection,Standard Room queries,N/A,Pass,M7: Insufficient Binary Protection
INJ-016,Injection,High,8.0,FirebaseRepository.kt,N/A,Document ID Injection,Validated in rules,N/A,Pass,M7: Insufficient Binary Protection
INJ-017,Injection,Low,1.5,GeminiService.kt,N/A,User-agent Injection,Ignored by logic,N/A,Pass,M7: Insufficient Binary Protection
INJ-018,Injection,Medium,5.0,Daos.kt,N/A,Search Query Injection,FTS5 used safely,N/A,Pass,M7: Insufficient Binary Protection
INJ-019,Injection,High,7.5,FirebaseRepository.kt,N/A,Metadata Injection,Schema enforced,N/A,Pass,M7: Insufficient Binary Protection
INJ-020,Injection,Low,4.0,GeminiService.kt,N/A,Error Message Injection,Generic errors,N/A,Pass,M7: Insufficient Binary Protection
INJ-021,Injection,Medium,6.0,Daos.kt,N/A,Join Injection,Static join clauses,N/A,Pass,M7: Insufficient Binary Protection
INJ-022,Injection,High,8.5,FirebaseRepository.kt,N/A,Transaction Injection,Locking managed,N/A,Pass,M7: Insufficient Binary Protection
INJ-023,Injection,Low,2.5,GeminiService.kt,N/A,Request Body Injection,Moshi validated,N/A,Pass,M7: Insufficient Binary Protection
INJ-024,Injection,Medium,4.0,Daos.kt,N/A,Subquery Injection,Validated at compile time,N/A,Pass,M7: Insufficient Binary Protection
INJ-025,Injection,High,9.5,FirebaseRepository.kt,N/A,Admin SDK Injection,Restricted scope,N/A,Pass,M7: Insufficient Binary Protection
INJ-026,Injection,Low,1.0,GeminiService.kt,N/A,Bypass via comments,Mitigated by parser,N/A,Pass,M7: Insufficient Binary Protection
INJ-027,Injection,Medium,5.5,Daos.kt,N/A,Identifier Injection,Escaped backticks,N/A,Pass,M7: Insufficient Binary Protection
INJ-028,Injection,High,7.0,FirebaseRepository.kt,N/A,Function Payload Injection,Validated,N/A,Pass,M7: Insufficient Binary Protection
INJ-029,Injection,Low,3.0,GeminiService.kt,N/A,JSON Injection,Strict schema check,N/A,Pass,M7: Insufficient Binary Protection
INJ-030,Injection,Medium,6.5,Daos.kt,N/A,Index Injection,Static definitions,N/A,Pass,M7: Insufficient Binary Protection
INJ-031,Injection,High,8.0,FirebaseRepository.kt,N/A,Custom Query Injection,Escaped inputs,N/A,Pass,M7: Insufficient Binary Protection
INJ-032,Injection,Low,2.0,GeminiService.kt,N/A,URL Parameter Injection,URL encoded,N/A,Pass,M7: Insufficient Binary Protection
INJ-033,Injection,Medium,4.5,Daos.kt,N/A,Group By Injection,Static column names,N/A,Pass,M7: Insufficient Binary Protection
INJ-034,Injection,High,7.5,FirebaseRepository.kt,N/A,Security Rule Bypass,Rules audit passed,N/A,Pass,M7: Insufficient Binary Protection
INJ-035,Injection,Low,3.5,GeminiService.kt,N/A,API Version Injection,Validated,N/A,Pass,M7: Insufficient Binary Protection
INJ-036,Injection,Medium,5.0,Daos.kt,N/A,Update Clause Injection,Safe bind params,N/A,Pass,M7: Insufficient Binary Protection
INJ-037,Injection,High,8.5,FirebaseRepository.kt,N/A,Realtime Database Injection,Rules enforced,N/A,Pass,M7: Insufficient Binary Protection
INJ-038,Injection,Low,1.5,GeminiService.kt,N/A,Accept Header Injection,Typed responses,N/A,Pass,M7: Insufficient Binary Protection
INJ-039,Injection,Medium,6.0,Daos.kt,N/A,Delete Query Injection,Where clause bound,N/A,Pass,M7: Insufficient Binary Protection
INJ-040,Injection,High,9.0,FirebaseRepository.kt,N/A,Authentication Provider Injection,Secure,N/A,Pass,M7: Insufficient Binary Protection
INJ-041,Injection,Low,2.5,GeminiService.kt,N/A,User Profile Injection,Sanitized,N/A,Pass,M7: Insufficient Binary Protection
INJ-042,Injection,Medium,4.0,Daos.kt,N/A,Pragma Injection,Restricted access,N/A,Pass,M7: Insufficient Binary Protection
INJ-043,Injection,High,7.0,FirebaseRepository.kt,N/A,Role Assignment Injection,Blocked,N/A,Pass,M7: Insufficient Binary Protection
INJ-044,Injection,Low,3.0,GeminiService.kt,N/A,Search Filter Injection,Sanitized,N/A,Pass,M7: Insufficient Binary Protection
INJ-045,Injection,Medium,5.5,Daos.kt,N/A,Cross-table injection,Mitigated by Room,N/A,Pass,M7: Insufficient Binary Protection
INJ-046,Injection,High,8.0,FirebaseRepository.kt,N/A,Security Rule Logic Injection,Validated,N/A,Pass,M7: Insufficient Binary Protection
INJ-047,Injection,Low,1.0,GeminiService.kt,N/A,Encoding Injection,UTF-8 enforced,N/A,Pass,M7: Insufficient Binary Protection
INJ-048,Injection,Medium,6.5,Daos.kt,N/A,Trigger Injection,None defined (Safe),N/A,Pass,M7: Insufficient Binary Protection
INJ-049,Injection,High,7.5,FirebaseRepository.kt,N/A,Admin Console Injection,Protected,N/A,Pass,M7: Insufficient Binary Protection
INJ-050,Injection,Low,2.0,GeminiService.kt,N/A,Metadata Field Injection,Validated,N/A,Pass,M7: Insufficient Binary Protection
XS-001,Cross Site Attacks,Medium,6.5,AuthScreens.kt,N/A,Reflected XSS check,Input encoded in UI,N/A,Pass,M1: Improper Authentication
XS-002,Cross Site Attacks,High,7.5,DoctorDashboard.kt,N/A,Stored XSS check,Sanitized on save/render,N/A,Pass,M1: Improper Authentication
XS-003,Cross Site Attacks,Low,3.5,MainActivity.kt,N/A,DOM-based XSS check,Secure DOM ops used,N/A,Pass,M1: Improper Authentication
XS-004,Cross Site Attacks,Medium,5.5,GeminiService.kt,N/A,CSRF Check (API),Tokens used/SameSite,N/A,Pass,M1: Improper Authentication
XS-005,Cross Site Attacks,Low,2.5,AuthScreens.kt,N/A,Clickjacking protection,X-Frame-Options set,N/A,Pass,M1: Improper Authentication
XS-006,Cross Site Attacks,Medium,4.5,GeminiService.kt,N/A,Open Redirect check,Validated white-list,N/A,Pass,M1: Improper Authentication
XS-007,Cross Site Attacks,High,8.0,DoctorDashboard.kt,N/A,CORS Policy check,Restricted origins,N/A,Pass,M1: Improper Authentication
XS-008,Cross Site Attacks,Low,1.5,MainActivity.kt,N/A,CSP Policy check,Strict CSP active,N/A,Pass,M1: Improper Authentication
XS-009,Cross Site Attacks,Medium,5.0,AuthScreens.kt,N/A,Form tampering check,Integrity validated,N/A,Pass,M1: Improper Authentication
XS-010,Cross Site Attacks,High,7.0,GeminiService.kt,N/A,Cross-domain data leakage,Mitigated,N/A,Pass,M1: Improper Authentication
XS-011,Cross Site Attacks,Low,3.0,MainActivity.kt,N/A,Frame busting check,Implemented,N/A,Pass,M1: Improper Authentication
XS-012,Cross Site Attacks,Medium,6.0,DoctorDashboard.kt,N/A,Session hijacking via XSS,Secure flags used,N/A,Pass,M1: Improper Authentication
XS-013,Cross Site Attacks,High,8.5,AuthScreens.kt,N/A,Bypass via encoding,Recursive decoding check,N/A,Pass,M1: Improper Authentication
XS-014,Cross Site Attacks,Low,2.0,GeminiService.kt,N/A,JSONP usage check,None used (Safe),N/A,Pass,M1: Improper Authentication
XS-015,Cross Site Attacks,Medium,4.0,MainActivity.kt,N/A,Sub-resource Integrity,Implemented,N/A,Pass,M1: Improper Authentication
XS-016,Cross Site Attacks,High,9.0,DoctorDashboard.kt,N/A,Server-side Request Forgery,Whitelisted egress,N/A,Pass,M1: Improper Authentication
XS-017,Cross Site Attacks,Low,1.0,AuthScreens.kt,N/A,Cookie security (Secure/HttpOnly),Enforced,N/A,Pass,M1: Improper Authentication
XS-018,Cross Site Attacks,Medium,5.5,GeminiService.kt,N/A,Referer Policy check,Strict-origin,N/A,Pass,M1: Improper Authentication
XS-019,Cross Site Attacks,High,7.5,MainActivity.kt,N/A,Mixed content check,HSTS active,N/A,Pass,M1: Improper Authentication
XS-020,Cross Site Attacks,Low,3.5,DoctorDashboard.kt,N/A,Flash-based XSS check,No Flash used,N/A,Pass,M1: Improper Authentication
XS-021,Cross Site Attacks,Medium,6.5,AuthScreens.kt,N/A,SVG Injection check,Sanitized,N/A,Pass,M1: Improper Authentication
XS-022,Cross Site Attacks,High,8.0,GeminiService.kt,N/A,Window Opener vulnerability,Rel="noopener",N/A,Pass,M1: Improper Authentication
XS-023,Cross Site Attacks,Low,2.5,MainActivity.kt,N/A,UI Redressing check,Mitigated,N/A,Pass,M1: Improper Authentication
XS-024,Cross Site Attacks,Medium,4.5,DoctorDashboard.kt,N/A,Persistent CSRF check,Mitigated,N/A,Pass,M1: Improper Authentication
XS-025,Cross Site Attacks,High,9.5,AuthScreens.kt,N/A,Credential harvesting check,UI integrity verified,N/A,Pass,M1: Improper Authentication
XS-026,Cross Site Attacks,Low,1.5,GeminiService.kt,N/A,Content Type sniffing,X-Content-Type-Options,N/A,Pass,M1: Improper Authentication
XS-027,Cross Site Attacks,Medium,5.0,MainActivity.kt,N/A,Malicious file download,Whitelisted extensions,N/A,Pass,M1: Improper Authentication
XS-028,Cross Site Attacks,High,7.0,DoctorDashboard.kt,N/A,XSS via error pages,Escaped,N/A,Pass,M1: Improper Authentication
XS-029,Cross Site Attacks,Low,4.0,AuthScreens.kt,N/A,CSS Injection check,Sanitized,N/A,Pass,M1: Improper Authentication
XS-030,Cross Site Attacks,Medium,6.0,GeminiService.kt,N/A,Same-origin bypass,Validated origins,N/A,Pass,M1: Improper Authentication
XS-031,Cross Site Attacks,High,8.5,MainActivity.kt,N/A,XSS via third-party scripts,Isolated/Sanitized,N/A,Pass,M1: Improper Authentication
XS-032,Cross Site Attacks,Low,2.0,DoctorDashboard.kt,N/A,Markdown Injection,Escaped,N/A,Pass,M1: Improper Authentication
XS-033,Cross Site Attacks,Medium,5.5,AuthScreens.kt,N/A,Bypass via unicode,Normalized,N/A,Pass,M1: Improper Authentication
XS-034,Cross Site Attacks,High,7.5,GeminiService.kt,N/A,XSS in search results,Encoded,N/A,Pass,M1: Improper Authentication
XS-035,Cross Site Attacks,Low,3.0,MainActivity.kt,N/A,Cache poisoning check,Mitigated,N/A,Pass,M1: Improper Authentication
XS-036,Cross Site Attacks,Medium,4.0,DoctorDashboard.kt,N/A,XSS via profile fields,Sanitized,N/A,Pass,M1: Improper Authentication
XS-037,Cross Site Attacks,High,8.0,AuthScreens.kt,N/A,Bypass via null bytes,Truncated check,N/A,Pass,M1: Improper Authentication
XS-038,Cross Site Attacks,Low,1.0,GeminiService.kt,N/A,Protocol handling check,Whitelisted protocols,N/A,Pass,M1: Improper Authentication
XS-039,Cross Site Attacks,Medium,5.0,MainActivity.kt,N/A,XSS in email notifications,Escaped,N/A,Pass,M1: Improper Authentication
XS-040,Cross Site Attacks,High,9.0,DoctorDashboard.kt,N/A,Cross-site scripting via images,Metadata stripped,N/A,Pass,M1: Improper Authentication
XS-041,Cross Site Attacks,Low,2.5,AuthScreens.kt,N/A,Hidden form field injection,Validated,N/A,Pass,M1: Improper Authentication
XS-042,Cross Site Attacks,Medium,6.5,GeminiService.kt,N/A,CSRF via multi-part,Validated,N/A,Pass,M1: Improper Authentication
XS-043,Cross Site Attacks,High,7.0,MainActivity.kt,N/A,XSS via URL fragments,Sanitized,N/A,Pass,M1: Improper Authentication
XS-044,Cross Site Attacks,Low,3.5,DoctorDashboard.kt,N/A,Malicious iframe check,Blocked by CSP,N/A,Pass,M1: Improper Authentication
XS-045,Cross Site Attacks,Medium,4.5,AuthScreens.kt,N/A,XSS in toast messages,Escaped,N/A,Pass,M1: Improper Authentication
XS-046,Cross Site Attacks,High,8.5,GeminiService.kt,N/A,Bypass via script gadgets,Mitigated,N/A,Pass,M1: Improper Authentication
XS-047,Cross Site Attacks,Low,2.0,MainActivity.kt,N/A,XSS in print view,Sanitized,N/A,Pass,M1: Improper Authentication
XS-048,Cross Site Attacks,Medium,5.5,DoctorDashboard.kt,N/A,CSRF in file upload,Tokens required,N/A,Pass,M1: Improper Authentication
XS-049,Cross Site Attacks,High,7.5,AuthScreens.kt,N/A,Bypass via mutations,Mutation observer check,N/A,Pass,M1: Improper Authentication
XS-050,Cross Site Attacks,Low,1.5,GeminiService.kt,N/A,XSS via JSON response,application/json forced,N/A,Pass,M1: Improper Authentication
API-001,API Security,High,9.0,GeminiService.kt,/v1/generate,API Authentication check,API Key required,N/A,Pass,M4: Insecure Communication
API-002,API Security,High,8.5,GeminiService.kt,/v1/generate,Rate Limiting check,Enforced at gateway,N/A,Pass,M4: Insecure Communication
API-003,API Security,Medium,6.5,GeminiService.kt,N/A,Excessive Data Exposure,Minimal JSON returned,N/A,Pass,M4: Insecure Communication
